df1.region_name,df1.district_name
Quảng Ngãi,Huyện Ba Tơ
Nghệ An,Thị xã Cửa Lò
Hà Giang,Huyện Xín Mần
Gia Lai,Huyện Chư Pưh
Quảng Nam,Huyện Phú Ninh
Phú Thọ,Huyện Tam Nông
Cao Bằng,Huyện Hà Quảng
Gia Lai,Thị xã Ayun Pa
Gia Lai,Huyện Chư Păh
Hà Giang,Huyện Đồng Văn
Hoà Bình,Huyện Yên Thủy
Phú Thọ,Huyện Phù Ninh
Lạng Sơn,Huyện Đình Lập
Tiền Giang,Huyện Tân Phú Đông
Ninh Thuận,Huyện Thuận Bắc
Hoà Bình,Huyện Kỳ Sơn
Nghệ An,Huyện Kỳ Sơn
Lai Châu,Huyện Than Uyên
Lạng Sơn,Huyện Văn Quan
Lai Châu,Huyện Sìn Hồ
Lào Cai,Huyện Bát Xát
Kiên Giang,Huyện Giang Thành
Điện Biên,Huyện Tủa Chùa
Quảng Nam,Huyện Đông Giang
Lào Cai,Huyện Văn Bàn
Quảng Ngãi,Huyện Tây Trà
Bắc Kạn,Huyện Pác Nặm
Cao Bằng,Huyện Thạch An
Thanh Hóa,Huyện Mường Lát
